GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACRoleService,92,0,2,0,23,0,11,0,10,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,PrincipalService,23,0,0,0,6,0,4,0,4,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACScopeService,101,0,2,0,25,0,12,0,11,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACResourceService,87,0,2,0,22,0,11,0,10,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACContextService,88,0,2,0,22,0,10,0,9,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACActionService,36,0,0,0,9,0,6,0,6,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,StructureService,101,0,2,0,25,0,12,0,11,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACActionRouteService,16,0,0,0,4,0,3,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.dependency.infrastructure.exception,DependencyTimeoutException,30,0,0,0,8,0,3,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.dependency.infrastructure.exception,DependencyCheckFailedException,25,0,0,0,7,0,3,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.configuration.domain.exception,ConfigurationException,9,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.language.domain.exception,LanguageException,9,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.error.application.adapter.exception,BaseRestExceptionHandler,87,0,0,0,23,0,8,0,8,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.validation.domain.utils,FieldValidationUtils,100,0,24,0,29,0,17,0,5,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.authentication.domain.service,AuthenticationServiceImpl,0,33,0,0,0,8,0,6,0,6
